RCDTS,Type,District,City,County,District Type,District Size,Student Enrollment - Total,Student Enrollment - Low Income %,Avg Class Size – All Grades,Avg Teaching Exp,Bachelor Degree,Masters Degree ,Teacher Retention Rate,Teacher Avg Salary,Admin Avg Salary
160194260260000,District,Hiawatha CUSD 426,Kirkland,Dekalb,UNIT,MEDIUM,515.0,36.3,16.0,10.3,72.2,27.8,82.0,43107.12,100486.5
160194270260000,District,Sycamore CUSD 427,Sycamore,Dekalb,UNIT,LARGE,3732.0,22.8,24.0,13.8,25.0,75.0,92.0,63529.58,104186.56
160194280260000,District,DeKalb CUSD 428,DeKalb,Dekalb,UNIT,LARGE,6598.0,58.8,22.0,11.8,45.6,54.2,84.6,62235.12,97351.17
160194290260000,District,Hinckley Big Rock CUSD 429,Hinckley,Dekalb,UNIT,MEDIUM,667.0,5.4,18.0,11.9,43.7,56.3,92.6,52331.7,102800.86
160194300260000,District,Sandwich CUSD 430,Sandwich,Dekalb,UNIT,LARGE,2069.0,37.6,20.0,15.6,24.3,75.7,91.2,62446.77,108497.59
160194320260000,District,Somonauk CUSD 432,Somonauk,Dekalb,UNIT,MEDIUM,815.0,27.5,21.0,14.2,47.7,52.3,92.5,51857.2,94186.73
170200150260000,District,Clinton CUSD 15,Clinton,Dewitt,UNIT,LARGE,1870.0,47.1,19.0,13.9,63.4,35.8,89.5,51607.8,89602.0
170200180260000,District,Blue Ridge CUSD 18,Farmer City,Dewitt,UNIT,MEDIUM,745.0,47.1,16.0,13.8,70.1,29.9,89.2,47031.41,90614.64
170530050260000,District,Woodland CUSD 5,Streator,Livingston,UNIT,MEDIUM,520.0,33.3,16.0,14.5,65.8,34.2,89.2,50461.98,81776.67
170530080260000,District,Prairie Central CUSD 8,Fairbury,Livingston,UNIT,LARGE,1905.0,44.1,19.0,13.9,39.3,60.7,80.9,60444.99,78289.95
170530740270000,District,Flanagan-Cornell Dist 74,Flanagan,Livingston,UNIT,SMALL,375.0,40.3,16.0,12.9,62.7,37.3,86.0,48019.16,116855.0
170530900170000,District,Pontiac Twp HSD 90,Pontiac,Livingston,HIGH SCHOOL,MEDIUM,651.0,41.5,18.0,14.4,34.9,59.8,91.9,69980.36,102169.0
170532300170000,District,Dwight Twp HSD 230,Dwight,Livingston,HIGH SCHOOL,SMALL,253.0,35.2,14.0,12.3,30.4,69.6,82.9,54435.48,112183.46
