RCDTS,Type,District,City,County,District Type,District Size,Total School Tax Rate per $100 2016-17,Total Expenditures 2016-17,Education Fund 2016-17 - Dollars,General Admin 2016-17 - Dollars,Local Property Taxes 2016-17 - Dollars,General State Aid 2016-17 - Dollars,Federal Funding 2016-17 - Dollars
490813000260000,District,Rockridge CUSD 300,Taylor Ridge,Rock Island,UNIT,MEDIUM,4.82,14496523.0,7711352.0,942509.0,10043536.0,884871.0,441973.0
500820090260000,District,Lebanon CUSD 9,Lebanon,Saint Clair,UNIT,MEDIUM,6.52,8408818.0,5816541.0,642011.0,5064581.0,1444646.0,735537.0
500820190260000,District,Mascoutah CUD 19,Mascoutah,Saint Clair,UNIT,LARGE,4.93,42290786.0,27191337.0,1679585.0,12356925.0,14213978.0,11442575.0
500820300030000,District,St Libory Cons SD 30,Saint Libory,Saint Clair,ELEMENTARY,SMALL,3.42,811667.0,542117.0,96066.0,439540.0,234279.0,55590.0
500820400260000,District,Marissa CUSD 40,Marissa,Saint Clair,UNIT,MEDIUM,6.21,6186053.0,4678235.0,867958.0,2377065.0,2456600.0,661414.0
500820600260000,District,New Athens CUSD 60,New Athens,Saint Clair,UNIT,MEDIUM,5.25,6336560.0,3482549.0,700391.0,3494789.0,963633.0,507519.0
500820700040000,District,Freeburg CCSD 70,Freeburg,Saint Clair,ELEMENTARY,MEDIUM,2.84,6929119.0,4182309.0,1206774.0,4441240.0,1091776.0,397262.0
500820770160000,District,Freeburg CHSD 77,Freeburg,Saint Clair,HIGH SCHOOL,SMALL,2.3,7306779.0,4499178.0,1205074.0,5976818.0,1000427.0,262901.0
500820850020000,District,Shiloh Village SD 85,Shiloh,Saint Clair,ELEMENTARY,MEDIUM,3.49,6161451.0,3816298.0,438564.0,3034259.0,1642939.0,323357.0
500820900040000,District,O Fallon CCSD 90,O Fallon,Saint Clair,ELEMENTARY,LARGE,3.14,36889214.0,21474859.0,2416596.0,20156159.0,6490488.0,1893519.0
500821040020000,District,Central SD 104,O Fallon,Saint Clair,ELEMENTARY,MEDIUM,3.25,8208571.0,4576199.0,420419.0,5335736.0,493290.0,662573.0
500821050020000,District,Pontiac-W Holliday SD 105,Fairview Heights,Saint Clair,ELEMENTARY,MEDIUM,2.86,9154525.0,5957542.0,597932.0,7132958.0,474017.0,610818.0
500821100040000,District,Grant CCSD 110,Fairview Heights,Saint Clair,ELEMENTARY,MEDIUM,4.53,7962935.0,5326471.0,781433.0,4755542.0,1421881.0,551690.0
500821130020000,District,Wolf Branch SD 113,Swansea,Saint Clair,ELEMENTARY,MEDIUM,3.85,9599318.0,5662051.0,551681.0,6850288.0,946601.0,336465.0
500821150020000,District,Whiteside SD 115,Belleville,Saint Clair,ELEMENTARY,MEDIUM,2.79,11782579.0,8765246.0,773076.0,6661527.0,2594564.0,1130466.0
500821160020000,District,High Mount SD 116,Swansea,Saint Clair,ELEMENTARY,MEDIUM,4.59,4649503.0,3231822.0,374395.0,1822747.0,1823431.0,531470.0
500821180020000,District,Belleville SD 118,Belleville,Saint Clair,ELEMENTARY,LARGE,3.64,48208565.0,33784801.0,2029659.0,13232757.0,16730235.0,4677405.0
500821190020000,District,Belle Valley SD 119,Belleville,Saint Clair,ELEMENTARY,MEDIUM,5.25,32131439.0,7879389.0,380817.0,4845808.0,4180266.0,1450184.0
500821300040000,District,Smithton CCSD 130,Smithton,Saint Clair,ELEMENTARY,MEDIUM,3.25,4628038.0,3561262.0,422660.0,2981395.0,1014914.0,177145.0
500821600040000,District,Millstadt CCSD 160,Millstadt,Saint Clair,ELEMENTARY,MEDIUM,3.12,8768588.0,5868739.0,679539.0,5895872.0,725168.0,370546.0
500821750020000,District,Harmony Emge SD 175,Belleville,Saint Clair,ELEMENTARY,MEDIUM,4.68,9981412.0,6067397.0,1078698.0,6115405.0,1956817.0,737541.0
500821810020000,District,Signal Hill SD 181,Belleville,Saint Clair,ELEMENTARY,MEDIUM,4.33,3756103.0,2834131.0,467964.0,1695264.0,1370141.0,284655.0
500821870260000,District,Cahokia CUSD 187,Cahokia,Saint Clair,UNIT,LARGE,11.05,50073554.0,38307490.0,3437400.0,9285536.0,27799806.0,9031774.0
500821880220000,District,Brooklyn UD 188,Lovejoy,Saint Clair,UNIT,SMALL,7.56,2851230.0,2199778.0,288129.0,586278.0,826920.0,1141407.0
500821890220000,District,East St Louis SD 189,East Saint Louis,Saint Clair,UNIT,LARGE,10.84,93562123.0,72136193.0,5406382.0,13152884.0,47892580.0,23721757.0
500821960260000,District,Dupo CUSD 196,Dupo,Saint Clair,UNIT,MEDIUM,5.42,10741987.0,8053263.0,952963.0,3603853.0,4792472.0,1086793.0
500822010170000,District,Belleville Twp HSD 201,Belleville,Saint Clair,HIGH SCHOOL,LARGE,2.16,69071651.0,40373371.0,2718288.0,35040983.0,11905650.0,3323837.0
500822030170000,District,O Fallon Twp HSD 203,O Fallon,Saint Clair,HIGH SCHOOL,MEDIUM,2.24,29225816.0,19084937.0,1788988.0,19744430.0,5177536.0,1854834.0
510652130260000,District,Athens CUSD 213,Athens,Menard,UNIT,MEDIUM,4.75,12461756.0,7844659.0,414046.0,5854478.0,2795094.0,394236.0
510840010260000,District,Tri City CUSD 1,Buffalo,Sangamon,UNIT,MEDIUM,4.73,5875781.0,4123139.0,269337.0,3710592.0,949388.0,296398.0
510840050260000,District,Ball Chatham CUSD 5,Chatham,Sangamon,UNIT,LARGE,4.46,44142414.0,31729303.0,1565920.0,32477074.0,6240076.0,2243452.0
510840080260000,District,Pleasant Plains CUSD 8,Pleasant Plains,Sangamon,UNIT,MEDIUM,5.24,15075975.0,10011229.0,887767.0,12391749.0,1406654.0,347415.0
510840100260000,District,Auburn CUSD 10,Auburn,Sangamon,UNIT,MEDIUM,4.28,11797937.0,8992475.0,364151.0,5515823.0,4093647.0,640681.0
510840110260000,District,Pawnee CUSD 11,Pawnee,Sangamon,UNIT,MEDIUM,4.01,6599185.0,4647787.0,704104.0,5219592.0,318254.0,284329.0
510840140260000,District,Riverton CUSD 14,Riverton,Sangamon,UNIT,MEDIUM,4.52,13227318.0,9947316.0,479749.0,5449667.0,4960284.0,1351502.0
510840150260000,District,Williamsville CUSD 15,Williamsville,Sangamon,UNIT,MEDIUM,4.56,14461575.0,9934091.0,418414.0,7879143.0,3855746.0,262524.0
510840160260000,District,New Berlin CUSD 16,New Berlin,Sangamon,UNIT,MEDIUM,4.68,9861288.0,6334395.0,428896.0,8562606.0,512945.0,431682.0
510841860250000,District,Springfield SD 186,Springfield,Sangamon,UNIT,LARGE,5.2,192058422.0,149505742.0,5125712.0,109294301.0,40175684.0,26090817.0
530601260260000,District,Havana CUSD 126,Havana,Mason,UNIT,MEDIUM,4.84,10089854.0,6983095.0,1182985.0,5673975.0,2272783.0,833322.0
530601890260000,District,Illini Central CUSD 189,Mason City,Mason,UNIT,MEDIUM,5.71,8578523.0,6591178.0,426131.0,4809932.0,1816223.0,659924.0
530601910260000,District,Midwest Central CUSD 191,Manito,Mason,UNIT,MEDIUM,5.31,10295490.0,7273520.0,853081.0,4785841.0,3384090.0,847492.0
