RCDTS,County ,Dist # ,District Name/ School Name,City,ELA,Math
400560010260000,Macoupin,10,Carlinville CUSD 1,Carlinville,515.4,522.9
400560010260002,Macoupin,10,Carlinville High School,Carlinville,515.4,522.9
400560020260000,Macoupin,20,Northwestern CUSD 2,Palmyra,486.2,455.9
400560020260004,Macoupin,20,Northwestern High School,Palmyra,486.2,455.9
400560050260000,Macoupin,50,Mount Olive CUSD 5,Mount Olive,518.4,484.7
400560050260001,Macoupin,50,Mt Olive High School,Mount Olive,518.4,484.7
400560060260000,Macoupin,60,Staunton CUSD 6,Staunton,492.0,509.8
400560060260001,Macoupin,60,Staunton High School,Staunton,492.0,509.8
400560070260000,Macoupin,70,Gillespie CUSD 7,Gillespie,517.2,501.2
400560070260003,Macoupin,70,Gillespie High School,Gillespie,517.2,501.2
400560080260000,Macoupin,80,Bunker Hill CUSD 8,Bunker Hill,471.9,466.0
400560080260001,Macoupin,80,Bunker Hill High School,Bunker Hill,471.9,466.0
400560090260000,Macoupin,90,Southwestern CUSD 9,Brighton,502.8,491.3
400560090260001,Macoupin,90,Southwestern High School,Piasa,505.3,493.4
400560340260000,Macoupin,340,North Mac CUSD 34,Girard,490.6,478.4
400560340260001,Macoupin,340,North Mac High School,Virden,490.6,478.4
410570010260000,Madison,10,Roxana CUSD 1,Roxana,479.1,458.8
410570010260001,Madison,10,Roxana Sr High School,Roxana,479.1,458.8
410570020260000,Madison,20,Triad CUSD 2,Troy,508.5,521.9
410570020260001,Madison,20,Triad High School,Troy,508.5,521.9
410570050260000,Madison,50,Highland CUSD 5,Highland,506.7,513.2
410570050260001,Madison,50,Highland High School,Highland,506.7,513.2
410570070260000,Madison,70,Edwardsville CUSD 7,Edwardsville,539.0,537.0
410570070260001,Madison,70,Edwardsville High School,Edwardsville,543.6,541.7
410570080260000,Madison,80,Bethalto CUSD 8,Bethalto,493.9,478.8
410570080260001,Madison,80,Civic Memorial High School,Bethalto,493.9,478.8
410570090260000,Madison,90,Granite City CUSD 9,Granite City,468.5,449.8
410570090260001,Madison,90,Granite City High School,Granite City,469.0,450.4
410570100260000,Madison,100,Collinsville CUSD 10,Collinsville,485.4,474.3
410570100260001,Madison,100,Collinsville High School,Collinsville,484.2,473.2
410570110260000,Madison,110,Alton CUSD 11,Alton,490.0,481.1
410570110260001,Madison,110,Alton High School,Alton,492.0,483.8
410570120260000,Madison,120,Madison CUSD 12,Madison,419.4,394.8
410570120260001,Madison,120,Madison Senior High School,Madison,420.7,398.2
410570140160000,Madison,140,East Alton-Wood River CHSD 14,Wood River,468.6,446.8
410570140160001,Madison,140,East Alton-Wood River High Sch,Wood River,469.0,447.7
440630120260000,McHenry,120,Johnsburg CUSD 12,Johnsburg,514.5,495.1
440630120260002,McHenry,120,Johnsburg High School,Johnsburg,514.5,495.1
440630190240000,McHenry,190,Alden Hebron SD 19,Hebron,511.4,507.2
440630190240002,McHenry,190,Alden-Hebron High School,Hebron,511.4,507.2
440630500260000,McHenry,500,Harvard CUSD 50,Harvard,463.3,448.4
440630500260001,McHenry,500,Harvard High School,Harvard,464.1,450.0
440631540160000,McHenry,1540,Marengo CHSD 154,Marengo,523.2,538.7
440631540160001,McHenry,1540,Marengo High School,Marengo,526.2,542.2
440631550160000,McHenry,1550,CHSD 155,Crystal Lake,540.1,549.9
440631550160001,McHenry,1550,Crystal Lake Central High School,Crystal Lake,530.6,539.3
440631550160002,McHenry,1550,Cary-Grove Community High School,Cary,539.2,545.3
440631550160003,McHenry,1550,Crystal Lake South High School,Crystal Lake,547.9,555.5
440631550160004,McHenry,1550,Prairie Ridge High School,Crystal Lake,542.8,560.6
440631560160000,McHenry,1560,McHenry CHSD 156,McHenry,498.5,494.9
440631560160001,McHenry,1560,McHenry High School-West Campus,McHenry,497.6,492.6
440631560160002,McHenry,1560,McHenry  East High School,McHenry,502.3,502.2
440631570160000,McHenry,1570,Richmond-Burton CHSD 157,Richmond,560.1,558.1
440631570160001,McHenry,1570,Richmond-Burton High School,Richmond,560.9,559.5
440631580220000,McHenry,1580,Huntley Community School District 158,Algonquin,543.7,548.0
440631580220002,McHenry,1580,Huntley High School,Huntley,545.4,550.8
440632000260000,McHenry,2000,Woodstock CUSD 200,Woodstock,510.4,503.4
440632000260008,McHenry,2000,Woodstock High School,Woodstock,512.4,507.4
440632000260009,McHenry,2000,Woodstock North High School,Woodstock,510.2,501.1
450670030260000,Monroe,30,Valmeyer CUSD 3,Valmeyer,538.4,502.8
450670030260001,Monroe,30,Valmeyer High School,Valmeyer,538.4,502.8
450670040260000,Monroe,40,Columbia CUSD 4,Columbia,525.6,537.9
450670040260001,Monroe,40,Columbia High School,Columbia,525.6,537.9
450670050260000,Monroe,50,Waterloo CUSD 5,Waterloo,544.2,540.8
450670050260001,Monroe,50,Waterloo High School,Waterloo,540.1,536.4
450790010220000,Randolph,10,Coulterville USD 1,Coulterville,454.7,457.6
450790010220001,Randolph,10,Coulterville High School,Coulterville,454.7,457.6
450791320260000,Randolph,1320,Red Bud CUSD 132,Red Bud,484.2,454.7
450791320260001,Randolph,1320,Red Bud High School,Red Bud,486.5,457.7
450791380260000,Randolph,1380,Steeleville CUSD 138,Steeleville,517.3,509.3
450791380260001,Randolph,1380,Steeleville High School,Steeleville,517.3,509.3
450791390260000,Randolph,1390,Chester CUSD 139,Chester,466.7,454.7
450791390260001,Randolph,1390,Chester High School,Chester,466.7,454.7
450791400260000,Randolph,1400,Sparta CUSD 140,Sparta,455.1,422.1
450791400260001,Randolph,1400,Sparta High School,Sparta,457.4,422.6
470521700220000,Lee,1700,Dixon USD 170,Dixon,494.4,489.1
470521700220001,Lee,1700,Dixon High School,Dixon,494.4,489.1
470522710260000,Lee,2710,Paw Paw CUSD 271,Paw Paw,500.0,513.6
470522710260004,Lee,2710,Paw Paw Jr/Sr High School,Paw Paw,500.0,513.6
470522720260000,Lee,2720,Amboy CUSD 272,Amboy,484.0,474.2
470522720260001,Lee,2720,Amboy High School,Amboy,485.6,476.2
470522750260000,Lee,2750,Ashton-Franklin Center CUSD 275,Ashton,481.4,481.4
470522750260001,Lee,2750,Ashton-Franklin Center HS,Ashton,481.4,481.4
470712120170000,Ogle,2120,Rochelle Twp HSD 212,Rochelle,492.9,476.5
470712120170001,Ogle,2120,Rochelle Twp High School,Rochelle,494.0,477.7
470712200260000,Ogle,2200,Oregon CUSD 220,Oregon,488.7,471.9
470712200260001,Ogle,2200,Oregon High School,Oregon,490.0,473.3
470712210260000,Ogle,2210,Forrestville Valley CUSD 221,Forreston,510.4,522.5
470712210260004,Ogle,2210,Forreston Jr/Sr High Sch,Forreston,512.9,527.3
470712220260000,Ogle,2220,Polo CUSD 222,Polo,494.9,501.8
470712220260004,Ogle,2220,Polo Comm High School,Polo,497.1,504.2
470712230260000,Ogle,2230,Meridian CUSD 223,Stillman Valley,531.6,506.0
470712230260003,Ogle,2230,Stillman Valley High School,Stillman Valley,531.6,506.0
470712260260000,Ogle,2260,Byron CUSD 226,Byron,539.6,522.9
470712260260001,Ogle,2260,Byron High School 9-12,Byron,541.6,524.4
470980010260000,Whiteside,10,Erie CUSD 1,Erie,516.8,513.4
470980010260001,Whiteside,10,Erie High School,Erie,516.8,513.4
470980020260000,Whiteside,20,River Bend CUSD 2,Fulton,491.7,474.0
470980020260001,Whiteside,20,Fulton High School,Fulton,491.7,474.0
470980030260000,Whiteside,30,Prophetstown-Lyndon-Tampico CUSD3,Prophetstown,476.7,460.7
470980030260001,Whiteside,30,Prophetstown High School,Prophetstown,476.7,460.7
470980050260000,Whiteside,50,Sterling CUSD 5,Sterling,480.8,470.7
470980050260014,Whiteside,50,Sterling High School,Sterling,481.5,472.0
